id,name,price,notes
df671372dda911eb829b9828a6410061,"Grand Caravan",66,Jega
df688c2ddda911eb829b9828a6410061,"Yukon XL 1500",53,Qarqaraly
df69698fdda911eb829b9828a6410061,Golf,91,Jiangjing
df6a2afbdda911eb829b9828a6410061,Relay,74,"Lagoa Santa"
df6ac539dda911eb829b9828a6410061,Aspen,59,Mambalan
df6be07bdda911eb829b9828a6410061,Swift,56,Sapporo
df6c9c84dda911eb829b9828a6410061,Firebird,84,Malinao
df6d55d1dda911eb829b9828a6410061,Mazda6,77,Uddevalla
df6e1134dda911eb829b9828a6410061,XLR,93,Sibinal
df6ee38bdda911eb829b9828a6410061,"Civic GX",56,Tiznit
df6f6a85dda911eb829b9828a6410061,Tribute,70,Gedongmulyo
df6feff9dda911eb829b9828a6410061,S60,75,Praingkareha
df70a084dda911eb829b9828a6410061,Impala,85,Dateng
df7150f1dda911eb829b9828a6410061,Tiburon,96,Jaru
df71e633dda911eb829b9828a6410061,Murano,94,Havana
df729059dda911eb829b9828a6410061,"8 Series",80,Liaoyang
df733564dda911eb829b9828a6410061,"Mark VIII",89,Xiongzhou
df73f80adda911eb829b9828a6410061,Ram,78,"Lagoa do Itaenga"
df74a322dda911eb829b9828a6410061,"Continental Mark VII",82,Yeping
df753c82dda911eb829b9828a6410061,Mazda5,72,Njivice
